Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,19,4,2032,2035,2110,2109,UA,184,NA,38,34,NA,1,-3,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,20,5,2030,2035,2116,2109,UA,184,NA,46,34,NA,7,-5,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,21,6,2035,2035,2108,2109,UA,184,NA,33,34,NA,-1,0,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,22,7,2026,2035,2103,2109,UA,184,NA,37,34,NA,-6,-9,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,23,1,2025,2035,2100,2109,UA,184,NA,35,34,NA,-9,-10,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,2031,2035,2106,2109,UA,184,NA,35,34,NA,-3,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,25,3,2031,2035,2106,2109,UA,184,NA,35,34,NA,-3,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,26,4,2031,2035,2104,2109,UA,184,NA,33,34,NA,-5,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,27,5,2031,2035,2113,2109,UA,184,NA,42,34,NA,4,-4,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,2033,2035,2123,2109,UA,184,NA,50,34,NA,14,-2,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,29,7,2026,2035,2101,2109,UA,184,NA,35,34,NA,-8,-9,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,30,1,2028,2035,2106,2109,UA,184,NA,38,34,NA,-3,-7,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,31,2,2033,2035,2110,2109,UA,184,NA,37,34,NA,1,-2,LIH,HNL,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,1,7,626,625,1002,951,UA,184,NA,156,146,NA,11,1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,2,1,624,625,943,951,UA,184,NA,139,146,NA,-8,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,3,2,704,625,1028,951,UA,184,NA,144,146,NA,37,39,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,4,3,635,625,944,951,UA,184,NA,129,146,NA,-7,10,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,5,4,707,625,1023,951,UA,184,NA,136,146,NA,32,42,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,6,5,632,625,1000,951,UA,184,NA,148,146,NA,9,7,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,7,6,632,625,948,951,UA,184,NA,136,146,NA,-3,7,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,8,7,700,625,1011,951,UA,184,NA,131,146,NA,20,35,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,9,1,632,625,945,951,UA,184,NA,133,146,NA,-6,7,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,624,625,931,951,UA,184,NA,127,146,NA,-20,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,11,3,626,625,1020,951,UA,184,NA,174,146,NA,29,1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,12,4,624,625,947,951,UA,184,NA,143,146,NA,-4,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,13,5,624,625,944,951,UA,184,NA,140,146,NA,-7,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,14,6,628,625,941,951,UA,184,NA,133,146,NA,-10,3,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,15,7,624,625,926,951,UA,184,NA,122,146,NA,-25,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,16,1,629,625,950,951,UA,184,NA,141,146,NA,-1,4,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,17,2,628,625,946,951,UA,184,NA,138,146,NA,-5,3,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,18,3,634,625,948,951,UA,184,NA,134,146,NA,-3,9,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,19,4,626,625,954,951,UA,184,NA,148,146,NA,3,1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,20,5,624,625,946,951,UA,184,NA,142,146,NA,-5,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,21,6,632,625,957,951,UA,184,NA,145,146,NA,6,7,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,22,7,812,625,1145,951,UA,184,NA,153,146,NA,114,107,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,23,1,623,625,935,951,UA,184,NA,132,146,NA,-16,-2,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,638,625,1002,951,UA,184,NA,144,146,NA,11,13,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,25,3,704,625,1046,951,UA,184,NA,162,146,NA,55,39,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,26,4,625,625,958,951,UA,184,NA,153,146,NA,7,0,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,27,5,649,625,1013,951,UA,184,NA,144,146,NA,22,24,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,913,625,1325,951,UA,184,NA,192,146,NA,214,168,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,29,7,624,625,1001,951,UA,184,NA,157,146,NA,10,-1,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,30,1,625,625,1001,951,UA,184,NA,156,146,NA,10,0,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,31,2,627,625,1003,951,UA,184,NA,156,146,NA,12,2,SFO,DEN,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,1,7,1739,1740,1823,1820,UA,185,NA,44,40,NA,3,-1,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,2,1,1737,1740,1825,1820,UA,185,NA,48,40,NA,5,-3,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,3,2,1751,1740,1836,1820,UA,185,NA,45,40,NA,16,11,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
